name,count
000059,0
000097,0
000319,1
000386,0
000415,1
000568,1
000642,1
000694,0
000833,1
000833,1
000845,1
000917,1
000940,1
001011,1
001044,0
001068,1
001259,1
001426,1
001662,1
001685,1
001691,0
001842,0
001855,0
001882,1
001911,1
001968,1
002012,0
002084,1
002246,1
002246,1
002309,1
002354,1
002486,1
002627,1
002644,0
002737,0
002804,1
002804,1
002810,1
002816,1
002850,1
002855,0
002874,0
002918,0
002920,1
002967,0
003086,1
003175,1
003219,1
003228,1
003250,0
003285,1
003344,1
003400,1
003445,1
003453,0
003611,0
003640,0
003660,1
003878,1
003942,1
003966,0
004039,0
004045,1
004078,1
004166,0
004210,1
004302,1
004332,1
004338,1
004367,0
004392,1
004471,0
004594,1
004700,1
004804,1
004875,0
004875,0
004887,0
004924,1
005010,0
005038,0
005063,0
005123,0
005176,1
005214,1
005266,1
005277,0
005309,1
005333,1
005396,0
005467,1
005560,0
005588,0
005642,1
005734,0
005736,1
005751,1
005779,1
005789,1
005803,1
005867,1
006003,1
006037,1
006425,1
006602,1
006668,0
006805,1
006807,1
006860,0
006899,1
006996,0
007042,1
007051,1
007086,1
007112,0
007205,1
007317,1
007385,1
007424,1
007427,1
007504,1
007527,1
007630,1
007632,1
007786,1
007828,1
007869,1
007888,1
007934,0
007959,1
008032,0
008047,1
008164,1
008199,1
008270,1
008385,1
008424,1
008523,1
008554,0
008595,0
008603,1
008610,1
008702,1
008790,0
008796,0
008917,1
008934,0
008939,0
008939,0
008988,0
009043,0
009136,0
009158,1
009261,1
009355,1
009429,1
009502,0
009521,1
009625,1
009742,1
009795,0
009821,0
009871,1
009893,1
009895,0
009937,0
009992,1
010124,0
010171,1
010213,1
010253,1
010295,1
010441,1
010471,0
010478,1
010495,0
010549,0
010593,0
010653,0
010675,0
010693,1
010698,1
010699,1
010787,1
010787,1
010905,1
010954,1
011026,1
011068,0
011071,1
011092,0
011131,1
011144,1
011173,1
011276,1
011308,1
011308,1
011394,1
011402,0
011507,1
011555,1
011588,0
011647,0
011674,0
011728,1
011769,1
011781,1
011807,1
011816,1
011910,0
011910,0
012048,0
012209,0
012222,1
012233,1
012315,1
012535,1
012541,1
012616,1
012625,0
012643,1
012660,1
012748,1
012877,1
012897,1
013012,0
013019,0
013034,0
013040,0
013063,1
013087,1
013121,1
013173,1
013198,0
013215,1
013220,0
013251,0
013264,1
013330,1
013366,1
013409,1
013514,1
013588,0
013635,1
013715,1
013740,1
013762,1
013810,0
013814,0
013945,1
013986,1
014007,0
014102,0
014103,1
014107,1
014115,1
014118,1
014214,1
014217,1
014262,1
014288,1
014348,0
014453,0
014743,0
014824,1
014834,1
014869,1
