name,count
000059,2
000097,2
000319,9
000386,2
000415,2
000568,5
000642,1
000694,6
000833,1
000833,1
000845,1
000917,10
000940,3
001011,1
001044,1
001068,12
001259,15
001426,5
001662,4
001685,1
001691,1
001842,2
001855,4
001882,6
001911,1
001968,11
002012,6
002084,3
002246,5
002246,5
002309,5
002354,7
002486,1
002627,1
002644,2
002737,2
002804,11
002804,11
002810,10
002816,8
002850,9
002855,2
002874,1
002918,2
002920,6
002967,1
003086,1
003175,1
003219,1
003228,1
003250,3
003285,2
003344,1
003400,1
003445,1
003453,1
003611,1
003640,1
003660,1
003878,1
003942,1
003966,12
004039,7
004045,8
004078,7
004166,1
004210,2
004302,5
004332,1
004338,8
004367,1
004392,4
004471,1
004594,1
004700,1
004804,11
004875,1
004875,1
004887,10
004924,6
005010,2
005038,1
005063,4
005123,1
005176,1
005214,3
005266,1
005277,1
005309,1
005333,1
005396,3
005467,1
005560,1
005588,1
005642,7
005734,1
005736,1
005751,2
005779,1
005789,3
005803,5
005867,1
006003,3
006037,1
006425,1
006602,3
006668,1
006805,8
006807,1
006860,6
006899,1
006996,1
007042,2
007051,8
007086,3
007112,3
007205,7
007317,6
007385,1
007424,6
007427,12
007504,4
007527,2
007630,1
007632,1
007786,1
007828,3
007869,1
007888,3
007934,4
007959,1
008032,5
008047,1
008164,4
008199,1
008270,3
008385,2
008424,1
008523,1
008554,1
008595,9
008603,1
008610,3
008702,1
008790,1
008796,1
008917,1
008934,1
008939,2
008939,2
008988,7
009043,9
009136,1
009158,10
009261,9
009355,1
009429,8
009502,5
009521,4
009625,1
009742,1
009795,1
009821,1
009871,5
009893,1
009895,5
009937,2
009992,1
010124,4
010171,1
010213,1
010253,6
010295,5
010441,3
010471,1
010478,2
010495,6
010549,1
010593,1
010653,1
010675,3
010693,1
010698,1
010699,1
010787,1
010787,1
010905,1
010954,5
011026,3
011068,13
011071,1
011092,5
011131,8
011144,6
011173,3
011276,1
011308,5
011308,5
011394,8
011402,8
011507,3
011555,3
011588,4
011647,1
011674,1
011728,1
011769,2
011781,1
011807,1
011816,1
011910,1
011910,1
012048,1
012209,3
012222,6
012233,4
012315,11
012535,5
012541,4
012616,14
012625,3
012643,1
012660,1
012748,2
012877,2
012897,2
013012,1
013019,1
013034,1
013040,1
013063,10
013087,2
013121,7
013173,3
013198,1
013215,1
013220,5
013251,2
013264,1
013330,2
013366,1
013409,4
013514,2
013588,2
013635,5
013715,2
013740,3
013762,5
013810,7
013814,1
013945,1
013986,1
014007,1
014102,9
014103,10
014107,2
014115,1
014118,8
014214,4
014217,12
014262,1
014288,1
014348,2
014453,1
014743,1
014824,2
014834,1
014869,1
014904,1
014984,4
015150,4
015181,1
015281,3
015299,9
015397,1
015523,4
015546,4
015551,1
015570,1
015609,3
015750,3
015864,1
015935,1
015957,1
015974,1
016030,10
016055,1
016062,5
016104,1
016132,1
016202,4
016244,1
016245,5
016255,1
016273,2
016273,2
016290,1
016319,6
016323,1
016375,2
016389,12
016448,6
016465,1
016473,2
016607,1
016634,3
016641,1
016647,8
016792,3
016821,1
016826,1
016831,8
016858,10
016858,10
017001,1
017061,1
017303,3
017359,1
017401,4
017476,6
017488,3
017663,3
017699,1
017777,1
017945,3
017982,2
018039,6
018092,10
018099,1
018251,2
018289,1
018320,1
018334,1
018420,2
018524,1
018568,4
018617,1
018629,8
018763,1
018818,1
018885,1
018974,1
018986,6
018989,9
019011,3
019024,1
019073,4
019101,6
019124,11
019149,2
019266,11
019266,11
019327,1
019431,6
019469,5
019580,1
019594,4
019609,2
019698,1
019859,1
019875,6
019943,6
019959,1
019994,7
020225,2
020246,3
020290,1
020443,1
020472,1
020538,5
020557,1
020607,2
020746,4
020759,6
020890,1
020901,3
021023,1
021041,1
021049,7
021108,2
021118,1
021120,1
021300,10
021399,2
021409,1
021521,1
021771,1
021785,5
021821,2
021825,5
021831,10
021909,1
021931,2
021949,1
022057,3
022146,8
022273,5
022273,5
022301,2
022357,2
022513,4
022544,1
022557,2
022686,1
022687,4
022831,6
022860,1
023084,2
023135,2
023176,1
023285,11
023648,2
023697,2
023749,1
024117,2
024120,7
024143,1
024159,1
024184,6
024212,1
024260,3
024310,5
024351,5
024444,1
024635,1
024669,1
024682,1
024694,1
024786,3
024851,3
024889,2
024945,1
025012,1
025052,9
025130,2
025136,6
025156,2
025273,1
025299,2
025368,1
025433,1
025473,2
025475,2
025561,5
025577,7
025789,1
025846,3
025893,1
026032,4
026082,4
026082,4
026319,4
026544,2
026589,1
026610,1
026611,1
026619,4
026635,2
026657,3
026687,8
026831,6
026880,7
026934,1
026992,1
026996,5
027096,2
027215,3
027255,1
027414,2
027563,2
027612,6
027627,2
027628,1
027778,1
027860,11
027870,8
027870,8
027964,1
028012,3
028083,6
028115,2
028203,1
028227,2
028255,1
028287,1
028311,3
028363,7
028366,2
028371,8
028405,3
028524,7
028662,2
028667,2
028686,1
028770,1
028774,5
028815,5
028868,1
028912,1
028951,4
028954,1
028954,1
029007,1
029092,1
029094,3
029176,11
029185,2
029188,1
029188,1
029236,3
029249,2
029326,7
029419,1
029426,2
029503,5
029512,1
029521,1
029640,1
029678,2
029770,6
029877,3
030035,1
030078,1
030082,1
030086,1
030097,3
030115,4
030199,2
030221,1
030234,1
030238,4
030251,1
030252,3
030338,1
030338,1
030384,4
030393,1
030518,1
030587,1
030614,1
030625,1
030630,2
030641,8
030659,2
030677,1
030857,1
030909,1
030928,8
030930,11
030977,1
031020,1
031159,2
031203,9
031206,4
031265,9
031308,5
031439,1
031470,2
031496,1
031585,2
031783,1
031959,1
031960,1
032002,2
032035,4
032065,7
032126,2
032292,2
032419,7
032420,4
032497,2
032660,3
032680,1
032744,3
032909,1
032937,2
032976,8
032999,1
033016,2
033019,8
033032,7
033088,4
033110,3
033134,1
033143,1
033195,1
033221,1
033228,1
033233,3
033262,1
033283,3
033315,1
033317,8
033336,1
033360,1
033366,7
033437,1
033644,2
033789,4
033810,2
033840,1
033862,2
033906,1
033928,1
034008,1
034069,2
034186,1
034196,2
034220,3
034247,10
034247,10
034258,2
034292,12
034424,1
034424,1
034484,1
034506,1
034511,3
034534,9
034548,2
034562,6
034660,7
034660,7
034704,2
034860,6
034959,5
035070,2
035100,1
035150,2
035179,5
035189,6
035481,2
035526,6
035711,1
035715,2
035728,1
035734,3
035828,4
035903,4
035992,2
036021,1
036283,1
036283,1
036344,2
036438,1
036593,5
036656,1
036677,5
036688,1
036716,3
036753,1
036777,1
036814,3
036820,5
036825,1
036847,1
036861,1
036863,2
036907,4
036929,1
037002,4
037015,1
037049,2
037111,7
037115,3
037202,1
037229,1
037315,5
037371,1
037412,1
037491,1
037547,2
037555,5
037736,3
037766,4
037798,2
037833,1
037889,8
038059,4
038092,1
038223,1
038328,1
038489,2
038532,4
038540,2
038705,1
038753,1
038754,1
038778,3
038778,3
038795,9
038824,1
038831,1
038844,1
038867,2
038912,1
038943,1
039007,1
039007,1
039056,1
039079,2
039079,2
039163,3
039177,3
039198,3
039260,3
039347,1
039387,7
039508,1
039539,3
039664,1
039686,7
039741,2
039748,1
039857,6
039888,1
039952,1
039994,1
040035,2
040127,1
040127,1
040183,1
040183,1
040288,1
040298,3
040320,12
040325,5
040381,2
040444,1
040490,9
040546,4
040567,3
040635,1
040739,1
040740,8
040753,1
040796,2
040849,9
040878,3
040891,4
040936,1
041074,1
041177,1
041196,1
041244,1
041259,14
041292,1
041434,1
041589,4
041593,4
041716,5
041807,2
041931,4
042073,8
042134,1
042206,1
042219,8
042360,2
042388,1
042431,4
042492,1
042504,1
042720,1
042721,2
042892,5
042967,4
042999,1
043081,1
043125,1
043169,1
043193,11
043379,6
043481,1
043511,1
043511,1
043560,3
043587,2
043627,2
043775,1
043928,2
044004,1
044024,1
044037,1
044073,1
044124,8
044156,11
044175,6
044178,3
044289,1
044319,1
044319,1
044376,2
044497,6
044516,1
044543,13
044633,1
044756,4
044756,4
044814,2
044837,2
044839,1
044940,2
044973,5
044986,1
045029,1
045132,1
045165,2
045189,1
045295,2
045374,5
045409,4
